timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes
1768176846599607,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141324,131064,5760,5857,0,0,0,0,671,5,5,15,17,330,0,0,0,0,0,5,255
1768176846609222,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141324,131064,5760,5857,0,0,0,0,672,8,5,15,17,330,0,0,0,0,0,5,255
1768176846619301,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141324,131064,5760,5857,0,0,0,0,673,8,5,15,17,330,0,0,0,0,0,5,255
1768176846628933,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141324,131064,5760,5857,0,0,0,0,674,7,5,15,17,330,0,0,0,0,0,5,255
1768176846639306,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141324,131064,5760,5857,0,0,0,0,675,8,5,15,17,330,0,0,0,0,0,5,255
1768176846649595,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141324,131064,5760,5857,0,0,0,0,676,10,5,15,17,330,0,0,0,0,0,5,255
1768176846659179,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141324,131064,5760,5857,0,0,0,0,677,7,5,15,17,330,0,0,0,0,0,5,255
1768176846669564,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141324,131064,5760,5857,0,0,0,0,678,8,5,15,17,330,0,0,0,0,0,5,255
1768176846679320,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141324,131064,5760,5857,0,0,0,0,679,4,5,15,17,330,0,0,0,0,0,5,255
1768176846689058,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141324,131064,5760,5862,0,0,4294967180,0,680,7,5,15,17,330,0,0,0,0,0,5,255
1768176846699375,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141447,131180,5765,5862,0,0,0,0,681,4,5,15,17,330,0,0,0,0,0,5,255
1768176846709064,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141447,131180,5765,5862,0,0,0,0,682,2,5,15,17,330,0,0,0,0,0,5,255
1768176846719420,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141447,131180,5765,5862,0,0,0,0,683,1,5,15,17,330,0,0,0,0,0,5,255
1768176846729553,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141447,131180,5765,5862,0,0,0,0,684,0,5,15,17,330,0,0,0,0,0,5,255
1768176846739309,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141447,131180,5765,5862,0,0,0,0,684,19,5,15,17,330,0,0,0,0,0,5,255
